,post_id,owner_id,comment_id,from_id,text,reply_to_user,reply_to_comment,parents_stack,num_answer,date
46,399,10003,400,10003,Что? что блин за говно? он как рот открыл меня аж передёрнуло......,,,[],0,1344576517
47,371,10003,372,48059,Что за??? о_О,,,[],0,1337019784
48,371,10003,373,10003,это чисто этический интерес......,,,[],0,1337027908
49,363,10003,364,1631403,Вы два дебила!,,,[],0,1336196023
50,363,10003,365,20226703,это все равно случится,,,[],0,1336506332
51,355,10003,356,10003,OMG WTF ?,,,[],0,1334003945
52,355,10003,357,337131,суровая реальность...,,,[],0,1334006018
53,317,10003,320,17699320,ну ждёмс))),,,[],0,1323623696
54,296,10003,297,10003,ггггг.....,,,[],0,1318617888
55,296,10003,298,621922,=),,,[],0,1318618240
56,296,10003,299,54779,ахаха))),,,[],0,1318695569
57,281,10003,286,20226703,ну они гармоничненько смотряться,,,[],0,1314709632
58,276,10003,277,20226703,даже бердман тут ничего,,,[],0,1313612308
59,247,10003,248,10003,Хех....да он крут =))),,,[],0,1309587120
60,220,10003,221,20226703,не казвел но зато смешно,,,[],0,1304278122
61,216,10003,217,10003,не уже перебор....зажрался циганёнок =),,,[],0,1302386760
62,189,10003,207,3835188,"ухаха, во жесть))",,,[],0,1300005994
63,170,10003,173,56254826,Кирилл жжешь (сучка),,,[],0,1294188847
64,170,10003,176,337131,всего лишь поджигаю...,,,[],0,1294355796
65,163,10003,164,54779,ахаха))),,,[],0,1293916831
66,163,10003,165,10003,еееееее патент качества нового года!,,,[],0,1293916996
67,163,10003,166,48059,Жестяк!!! Я бы тебя за такое убил!!!!! =),,,[],0,1293917280
68,163,10003,167,48059,"И прочитай, что пишет Рыжий сообщением раньше =)",,,[],0,1293917300
69,163,10003,169,20226703,эххх как круто было),,,[],0,1293961641
70,163,10003,171,21297052,Подстава=)),,,[],0,1294171578
71,163,10003,274,70545829,Также с подругой загорала:-)только в обнимку но в зале на полу))),,,[],0,1313272913
72,161,10003,168,54779,Сволочи!,,,[],0,1293922318
73,161,10003,181,48059,Ах-ха-ха!!!=),,,[],0,1295292540
74,149,10003,150,20226703,валим,,,[],0,1291148313
75,149,10003,151,10003,"Я за нефига, тут нищебродствовать с нищебродами!",,,[],0,1291167143
76,127,10003,128,20226703,о боже мой,,,[],0,1289664638
77,104,10003,105,20226703,тихий ужас,,,[],0,1287750640
78,104,10003,106,10003,кретин я не буду это смотреть.....,,,[],0,1287750827
79,104,10003,107,20226703,смотри!!! я зря что ли искал!,,,[],0,1287751959
80,463,10012,464,412182780,"Я перед своей нейрухой каждый день стакан водки ставил, а она ни разу не выпила!",,,[],0,1554323503
81,459,10012,460,10012,Спасибо!,,,[],0,1513186526
82,456,10012,457,25871,ты уже вернулся оттуда?),,,[],0,1500836264
83,456,10012,458,10012,"Да, вчера прилетели.",,,[],0,1500839234
84,448,10012,449,10012,Спасибо!,,,[],0,1481640185
85,441,10012,442,38506,"о, мы тоже ждем уже))",,,[],0,1459359316
86,441,10012,443,821446,А у моих родителей тоже такой фильмоскоп есть. Мы когда ездим к ним с детьми - показываем. Им нравится. Особенно нравится прокручивать плёнку.,,,[],0,1459375347
87,441,10012,444,10012,"Андрей, а мой не знаю где. Может на даче?! Надо поискать.",,,[],0,1459402564
88,436,10012,437,187261,"Объяснение простое:
https://m.rns.online/consumer-market/Pochta-Rossii-dobilas-vozbuzhdeniya-bolee-400-ugolovnih-del-protiv-sobstvennih-sotrudnikov-2016-01-25/
Да, они действительно работают лучше, подтверждаю.",,,[],0,1453995623
89,436,10012,438,10012,"Валерий, это кое что объясняет. Спасибо за ссылку!",187261.0,437.0,[],0,1454044959
90,434,10012,435,10012,Спасибо!,,,[],0,1450013884
91,432,10012,433,10012,Спасибо!,,,[],0,1450012186
92,427,10012,428,24412,Это так и должно быть? о_0,,,[],0,1445791763
93,427,10012,429,10012,"Александр, ну скажем так, я не ожидал такого :) При этом через 15 минут все растаяло и показалось солнце.",24412.0,428.0,[],0,1445797933
94,427,10012,430,24412,"Никита, а, ну норм)",10012.0,429.0,[],0,1445798053
95,427,10012,431,316469,Ничего себе!,,,[],0,1445864839
96,408,10012,409,10012,Спасибо!,,,[],0,1418503680
97,407,10012,410,10012,Спасибо!,,,[],0,1418503693
98,406,10012,411,10012,Спасибо!,,,[],0,1418503702
99,388,10012,389,24412,Опа. Че как у вас там?,,,[],0,1410542629
100,388,10012,390,10012,"Сидим в аэропорту, ждем вывоза, рейс уже на 3 часа задерживают, ребенок вынужден спать в комнате матери и ребенка :(
Даже вывоз нормально не могут организовать, не говоря обо всем остальном...",,,[],0,1410544821
101,388,10012,391,17490091,"[id24412|Александр], мало того что на неделю раньше отпуск пришлось закончить,так еще и рейс как минимум на 3 часа задерживают(( просто ппц! Прям сказочная Болгария))",24412.0,389.0,[],0,1410544829
102,388,10012,392,24412,"Да уж, круто отдохнули. Это турпомощь или как его там вывоз организовывает?",,,[],0,1410545127
103,388,10012,393,17490091,"[id24412|Александр], Угу она самая!",24412.0,392.0,[],0,1410545618
104,388,10012,394,466543,больше никаких турагентств,,,[],0,1410546029
105,388,10012,395,20744,Так вроде же солвекс уже неделю как накрылся?,,,[],0,1410547354
106,388,10012,396,128229,Пптц((,,,[],0,1410549681
107,388,10012,397,10012,"[id466543|Антон], да это точно. Мы и в этот раз хотели сами, но посчитали получилось дороже, чем по путевки в тот же отель. Теперь понятно почему =)",466543.0,394.0,[],0,1410595884
108,388,10012,398,10012,"[id20744|Константин], накрылись то еще 8-ого числа, а домой мы вернулись только сегодня. Причем мои родители сейчас от Солвекса в Греции, их вывозят в это воскресение. Так сказать семейный пападос.",20744.0,395.0,[],0,1410596056
109,388,10012,400,20744,"[id10012|Никита], у меня родители сейчас тоже уехали, но через версу. Хорошо что сегодня уже обратно вылетают, а то знакомые в турфирмах говорят что и ей тоже совсем не долго осталось.
А я уже 3 года отдыхаю самостоятельно, да дороже - но можно не бояться что обратно не улетишь)",10012.0,398.0,[],0,1410596992
110,388,10012,401,10012,"[id20744|Константин], иногда тоже сам ораганизовываю поездку, без тур фирмы. Теперь буду делать так чаще. =)",20744.0,400.0,[],0,1410630454
111,382,10012,383,466543,Ганзейский ты хотел сказать?,,,[],0,1406182924
112,382,10012,384,10012,"[id466543|Антон], да, точно.",466543.0,383.0,[],0,1406183026
113,363,10012,364,335937,Все выходные с женой гамали в квест по игре:),,,[],0,1392623766
114,363,10012,365,10012,"[id335937|Алексей], и как квест? Сам не большой любитель квестов, но кинь ссылочку на всякий.",335937.0,364.0,[],0,1392699889
115,363,10012,366,335937,"[id10012|Никита], http://en.wikipedia.org/wiki/Back_to_the_Future:_The_Game",10012.0,365.0,[],0,1392714814
116,341,10012,367,102898,это где такое чудо??))),,,[],0,1393180722
117,341,10012,368,10012,"[id102898|Данила], рядом с Академке... По крайней мере 4 месяца назад там было. ;)",102898.0,367.0,[],0,1393181890
118,341,10012,369,102898,Офигеть) люди прям бриллианты маркетинга! А главное сколько иронии),,,[],0,1393183993
119,332,10012,333,61090,В наших краях не будешь? Заходи в гости.,,,[],0,1373566708
120,332,10012,334,10012,В ваших это где? Я между Вашингтоном и Балтимором буду.,,,[],0,1373572300
121,332,10012,335,61090,"Наши — это SF Bay Area. Далеко, стало быть :(",,,[],0,1373679040
122,320,10012,321,10012,Прямая ссылка на сервис http://earthengine.google.org/,,,[],0,1368219696
123,317,10012,318,61090,"Ты очень странно интерпретируешь эту новость. Любой бизнес в конечном счёте пытается ""срубить бабла"", т.е. заработать деньги. Отдельные решения, которые он ради этого принимает, по разным причинам не нравятся пользователям. Но чем тебе не угодили платные каналы? :)",,,[],0,1368213180
124,317,10012,319,10012,"Сергей, никакой личной оценки. Констатация факта :)  Что касаеться YouTube и платных каналов. На мой взгляд это не самое сташное нововедение последних лет. Если, например, подобная модель позволит отказаться от навязчивой видео рекламы перед роликами или флеш рекламы со звуками на странице, то я буду очень рад.",,,[],0,1368214912
125,310,10012,311,10012,Ржал до слез в конце!,,,[],0,1361513657
126,307,10012,308,2733026,Крепкий этот сузуки),,,[],0,1361043999
127,307,10012,309,8142,"человек там машину жене купил и его кинули на крупную сумму, судился, проиграл, он приехал и разнес салон. что-то типа того. давно читал",,,[],0,1361044354
128,285,10012,289,10012,"Спасибо, Аленка!",,,[],0,1355412436
129,284,10012,288,10012,Спасибо!,,,[],0,1355412413
130,283,10012,287,10012,Спасибо!,,,[],0,1355412393
131,282,10012,286,10012,"Спасибо, Лен!",,,[],0,1355412377
132,279,10012,280,10012,"Спасибо, Лен!",,,[],0,1355391440
133,277,10012,281,10012,"Спасибо, Серега!",,,[],0,1355391470
134,273,10012,278,2225644,а где все люди? :),,,[],0,1355391076
135,250,10012,251,2733026,"Хотел было написать, что этот ролик чертовски хорош, но потом мне прострелили колено",,,[],0,1336815156
136,250,10012,252,10012,;),,,[],0,1336833660
137,244,10012,245,240759,"+1. но если бы все было так просто... :(
как нынче с пьяным народом в толпах? я в этот раз решил не ходить. уж очень они настроение портят...",,,[],0,1336635498
138,244,10012,246,10012,Пьяных вроде не особенно много было. Но вот чурок хоть отбавляй... Причем восновном большими группами.,240759.0,245.0,[],0,1336647767
139,244,10012,247,17490091,Жена была в шоке от увиденного)),,,[],0,1336668488
140,236,10012,237,112738,Рабочий вариант хоть не картонным будет? :),,,[],0,1335300317
141,236,10012,238,10012,"Нет вообще предполагаеться железная стойка и т.д. Но заказчик решил сэкономить и заказывать железки не у транзаса, а у местных умельцев, как результат - еще ничего не готово. сидим настраиваем все за голыми компами и коробками вот такими )))",112738.0,237.0,[],0,1335333268
142,232,10012,233,971923,Успешно поработать =),,,[],0,1335249954
143,232,10012,235,10012,"[id971923|Сергей], спасибо, постараемся! :) Не все же в холодную, зимнюю Норвегию ездить ;)",971923.0,233.0,[],0,1335295034
144,227,10012,228,2733026,"не в Новороссийск, случаем?",,,[],0,1335104004
145,227,10012,229,10012,"Нет, в Хорватию в этот раз.",,,[],0,1335105184
146,227,10012,230,2733026,Классно :),,,[],0,1335105562
147,219,10012,220,49769,И что тебя туда понесло? :),,,[],0,1331322980
148,219,10012,221,10012,Командировка.,,,[],0,1331382054
149,219,10012,222,4280365,Норд-кап?,,,[],0,1331419354
150,219,10012,223,10012,"Он самый, он самый.",,,[],0,1331475868
151,216,10012,217,24412,"Клево там, над за полярной Норвегией)",,,[],0,1331285812
152,216,10012,218,971923,Красота!,,,[],0,1331298175
153,197,10012,198,10012,"Спасибо, Катя!",,,[],0,1323768803
154,185,10012,186,10012,Спасибо!,,,[],0,1318714222
155,178,10012,180,2733026,"Хорошо ролик сделан!! Лучше бы Транзас тренажеры так делал :))
Никита, ты к нам приедешь через недельку, да? ;)",,,[],0,1316712725
156,178,10012,181,10012,"Тренажеры у нас тоже не плохие ;-) 
По поводу приехать. Если нужно - приеду. Я не против.",,,[],0,1316757181
157,178,10012,182,2733026,"Там наше начальство очень обоспокоено состоянием наших глупых якорей, которые нихрена не работают. А через две недели приедет газфлот учиться :) так что вероятность твоей поездки на море довольно высока",,,[],0,1316766393
158,175,10012,177,2733026,Perfect!,,,[],0,1315320177
159,167,10012,168,103799,с приездом),,,[],0,1313350624
160,167,10012,169,8103673,Nikitka privet)),,,[],0,1313351712
161,167,10012,170,10012,"Привет, Тань, как твои дела? Где ты сейчас?",,,[],0,1313473033
162,167,10012,172,8103673,"Я только из Питере, все там же) ты еще не женился?))",,,[],0,1314192745
163,161,10012,162,240759,"толстый, когда пиво пить пойдем? ;)",,,[],0,1312530430
164,161,10012,163,10012,Приеду 15 августа и пойдем ;),,,[],0,1312530845
165,161,10012,164,240759,а ты где счас?,,,[],0,1312544614
166,161,10012,165,10012,На черном море.,,,[],0,1312623583
167,144,10012,145,103799,есть приглашение?),,,[],0,1309767580
168,144,10012,146,10012,Я подал заявку. Обещали прислать. Как пришлют - отпишусь! ;-),,,[],0,1309768668
169,144,10012,147,51102,"О, если будет возможность - кинь мне инвайт, плиз)",,,[],0,1309770166
170,144,10012,148,2733026,"И мне инвайт, если можно :) затестим",,,[],0,1309770496
171,144,10012,149,103799,заявка будет долго идти) дайте свои адреса на gmail  я вышлю приглашения),,,[],0,1309779736
172,144,10012,150,51102,"[id103799|Денис], tkachenko.anastasia@gmail.com",103799.0,149.0,[],0,1309783528
173,144,10012,151,103799,"Пригласил,п опробуй зайти на https://plus.google.com/",,,[],0,1309783681
174,144,10012,152,329184,кому инвайты нужны - кидайте мыло gmail мне в личку,,,[],0,1309784388
175,144,10012,153,51102,"[id103799|Денис], удалось, спасибо Вам))",103799.0,151.0,[],0,1309786074
176,144,10012,154,103799,Ура),,,[],0,1309815920
177,144,10012,155,2733026,а можно мне инвайт? на istupy@gmail.com =),,,[],0,1310022790
178,142,10012,143,2733026,Хоть бы название придумали интереснее,,,[],0,1309358312
179,134,10012,135,240759,эх( имею возможность только побегать,,,[],0,1306437887
180,134,10012,136,10012,А что с твоим великом?,,,[],0,1306472725
181,134,10012,137,240759,"живет на даче, домой его не пускают",,,[],0,1306531398
182,134,10012,138,1271680,молоца  ),,,[],0,1306601793
183,125,10012,126,10012,Помните в новый год рассказывал об этом эпизод? =)))))),,,[],0,1295115657
184,125,10012,127,2733026,"Посмотрел отрывок, скачал фильм, побежал смотреть =) 
Браво чуваку.",,,[],0,1295122787
185,125,10012,128,8142,сопру),,,[],0,1295126717
186,125,10012,129,240759,шикарно! :),,,[],0,1295138148
187,125,10012,130,24412,ахаха) так его)),,,[],0,1295169727
188,119,10012,120,103799,С прошедшим!!) припоздал я немного),,,[],0,1292403497
189,119,10012,121,103799,Удачи в праге)),,,[],0,1292403508
190,103,10012,104,10012,"Спасибо, Саш!
Прикольно звучит!
Странно,что я до этого не слышал =)",,,[],0,1292015134
191,2678,10045,2679,450913408,"Большого труда стоило это все прочитать 😂👍🏼мне нравится дорога и домики, домики толково выражены👍🏼☺️😂 когда там будут ещё вопросы к художникам?))",,,[],3,1570005781
192,2669,10045,2670,450913408,Шар слишком низко))),,,[],4,1568660190
193,2665,10045,2666,450913408,"Сестрорецкий курорт часов в 19:35 становится безлюдным и просто посмотреть на закат, заземлиться. Ну и туда дальше...",,,[],1,1568101991
194,2657,10045,2658,25453,Охуеть вид. Уже тоже туда хочу.,,,[],3,1567259599
195,2648,10045,2649,45940634,Да как ты их такими заглядителтными делаешь!? 👍🔥,,,[],1,1564307372
196,2637,10045,2638,143131584,Красиво так,,,[],0,1546797277
197,2629,10045,2630,45940634,Нотки мистики в Вашем сознании),,,[],1,1543484914
198,2626,10045,2627,284480952,"Оху**но
По-другому не скажешь просто)
Наконец годнота пошла 🔥",,,[],1,1543348725
199,2580,10045,2581,25453,дистанционный селфак),,,[],0,1536247957
200,2580,10045,2582,10045,"Алексей, еее, селфак замедленного действия 💥",25453.0,2581.0,[],0,1536248060
201,2577,10045,2578,151081937,😍,,,[],0,1536009333
202,2570,10045,2571,450913408,Фига маршрут 🤭🤭 Будва и Мурманская область 😂😂😂,,,[],0,1535483554
203,2570,10045,2572,10045,"Липа, это было бы великолепно, но всё же по прибытии в СПб был использован самолёт для дальнейшего путешествия))",450913408.0,2571.0,[],0,1535484390
204,2564,10045,2565,450913408,Я обожаю это место! Жду волшебных фото🌱🌱🌱,,,[],0,1534872702
205,2564,10045,2566,10045,"Липа, Вечер был насыщенный на снимки, так что, ожидайте))",450913408.0,2565.0,[],0,1534883046
206,2522,10045,2523,2302510,Ой! Мы очень ждём фото😀😍,,,[],0,1513707743
207,2517,10045,2518,2302510,"Ой какая милая уютная фотография! Спасибо, Даня! Заберу себе 😍Ну и за похвалу, конечно, огромное спасибо🙏",,,[],0,1512647850
208,2504,10045,2505,-39513007,😊,,,[],0,1510940058
209,2497,10045,2498,10103777,клаааааассные!😃😋😋,,,[],0,1510588258
210,2497,10045,2499,308488567,Традиция 😎✨,,,[],0,1510600444
211,2494,10045,2495,284480952,"Висонький вижу, а косонький где? 🌝)) 
Открывает он там значитЬ, ты географ что ли?)",,,[],0,1510563938
212,2494,10045,2496,10045,"[id284480952|Evgeny], Косонький уехал уже давно😆 Тут вон теперь какие торпеды в моде. Эксплорер я, эксплорер))",284480952.0,2495.0,[],0,1510570721
213,2490,10045,2492,2302510,Чб прям 🔥🔥🔥,,,[],0,1509647704
214,2490,10045,2493,151081937,😍,,,[],0,1509652699
215,2485,10045,2486,1764107,А умственный труд-дело? 😜😉,,,[],0,1508592336
216,2485,10045,2487,10045,"[id1764107|Oxanchik], если твоя поза символизирует именно это, тогда ""да"". 😆",1764107.0,2486.0,[],0,1508593428
217,2485,10045,2488,1764107,"Даня, в моей позе сопряжено все!!!",10045.0,2487.0,[],0,1508593475
218,2485,10045,2491,2302510,А как же ваши советы? Без них мы бы не справились 😍,,,[],0,1509647640
219,2481,10045,2482,1764107,Такие классные и Лену видно!!! Супер!!!,,,[],0,1507574452
220,2473,10045,2474,308488567,Конечно огонь !!! С такой командой иначе и быть не может ))),,,[],0,1507318449
221,2473,10045,2475,10103777,Спасибо всем за комфортную обстановку ! С вами приятно работать !,,,[],0,1507319553
222,2473,10045,2476,2302510,Очень классная фотка получилась! 😃Теперь с нетерпением ждём результатов 😍,,,[],0,1507324669
223,2473,10045,2478,1764107,"Мы такие суперские, аааааа)))) Не сомневаюсь, результат будет потрясный!!!!😊😌👍👏",,,[],0,1507364634
224,2454,10045,2477,334428232,привет,,,[],0,1507338044
225,2445,10045,2446,10045,Автопортрет. Карелия.,,,[],0,1492722852
226,2437,10045,2438,230045,Это восторг!,,,[],0,1488212117
227,2419,10045,2420,11761923,"ОМушка 🙏
Волшебный 👼",,,[],0,1482431872
228,2396,10045,2397,152500,,,,[],0,1471769270
229,2388,10045,2389,152500,"Стругацкие классные! Конечно, мне не все их произведения понравились, но большинство из них безусловно очень интересные. :)",,,[],0,1470776490
230,2388,10045,2391,10045,"Александр, это старая школа фантастики! А читаешь и даже не верится, что написано оооочень давно.",152500.0,2389.0,[],0,1470845134
231,2353,10045,2355,13566738,,,,[],0,1466236327
232,2353,10045,2357,10045,"Мария, хорошо у тебя получается!))",13566738.0,2355.0,[],0,1466413226
233,2353,10045,2358,13566738,😉,10045.0,2357.0,[],0,1466422081
234,2335,10045,2336,13566738,,,,[],0,1463485105
235,2335,10045,2337,10045,"Мария, очень верный по атмосфере трек. Радуешь!",13566738.0,2336.0,[],0,1463485912
236,2325,10045,2330,640280,Чёт приуныл),,,[],0,1463129365
237,2302,10045,2303,155597,Какой кудряш!,,,[],0,1460964253
238,2294,10045,2295,703043,твой?,,,[],0,1460906881
239,2294,10045,2296,10045,"[id703043|Наталия], да!",703043.0,2295.0,[],0,1460908435
240,2294,10045,2297,703043,крутота!),10045.0,2296.0,[],0,1460908560
241,2294,10045,2298,10045,"[id703043|Наталия], сам не нарадуюсь))",703043.0,2297.0,[],0,1460908817
242,2294,10045,2299,117561,"Красава! Только еще лучше крылья поставь, а то весь уделаешься;)",,,[],0,1460918108
243,2294,10045,2300,10045,"[id117561|Alexander], а я их снял как раз)) Это же асфальтник.",117561.0,2299.0,[],0,1460918352
244,2294,10045,2301,117561,В Питере чистый и сухой асфальт на вес золота;),,,[],0,1460925319
245,2290,10045,2292,25418,Ты где такой куст марихуаны нашёл??,,,[],0,1460749966
246,2290,10045,2293,10045,"[id25418|Yury], ответил в личку😆",25418.0,2292.0,[],0,1460760825
247,2279,10045,2280,152500,"One of my greatest photos. #Thanksforthat, my friend!",,,[],0,1459958584
248,2279,10045,2281,155597,Awesome,,,[],0,1459963301
249,2277,10045,2288,355666966,Красота спасет мир!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,,[],0,1460581141
250,2271,10045,2272,10159,#repeat? #5-22May #dacha #alot #alcohol #then #forest,,,[],0,1459427961
251,2271,10045,2273,10045,#i #am #agree #my #forest #friend,,,[],0,1459434562
252,2271,10045,2275,34013,you #look #fat here my Dear #homeless #friend,,,[],0,1459523644
253,2240,10045,2241,152500,"Даня, а ты что из этого читал?",,,[],0,1448366649
254,2240,10045,2242,10045,"Alexander, Чужака начинал и сборник Лавкрафта.",152500.0,2241.0,[],0,1448369318
255,2240,10045,2243,152500,"[id10045|Даня], я тоже Лавфкрафта читал, атмосферные у него романы конечно. Ну и Алису в Зазеркалье :)",10045.0,2242.0,[],0,1448370180
256,2240,10045,2244,10045,"Alexander, Лавкрафт великолепен! Хотя, при жизни его вообще не признали и даже не печатали, вроде... Как зачастую и случается, опередил своё время))",152500.0,2243.0,[],0,1448370493
257,2233,10045,2234,152500,"После просмотра ""Лабиринта фавна"" были какие только угодно ощущения, но только не ""в настоящем мире так и должно быть"".😉",,,[],0,1446110918
258,2226,10045,2228,284480952,слева поинтереснее фотон то будет)) хмурый только какой-то...,,,[],0,1445214293
259,2210,10045,2211,179404867,!!!))),,,[],0,1438762959
260,2210,10045,2212,2539507,Где-то за домом...,,,[],0,1439358291
261,2207,10045,2208,51243605,"У Антона Иванова есть, и у Вадика что то есть. И у Насти Прокофьевой). Пиши кому нибудь из них.",,,[],0,1438691983
262,2207,10045,2209,10045,"Yulia, от души!",51243605.0,2208.0,[],0,1438692772
263,2157,10045,2158,10045,Спасибо👍,,,[],0,1432836193
264,2153,10045,2156,10045,Благодарочка особая!)),,,[],0,1432828509
265,2152,10045,2154,10045,"Спасибо большое, ура!",,,[],0,1432828342
266,2151,10045,2155,10045,"Веселья и добра всем вокруг, спасибо!",,,[],0,1432828449
267,2147,10045,2148,10045,"Спасибо, безбашенный и лихой пёс! Пушки вверх!",,,[],0,1432810732
268,2134,10045,2135,699628,😆😆😆а че я в трусах то?)),,,[],0,1432032494
269,2134,10045,2136,10045,"[id699628|Elizaveta], это у тебя нужно спросить))",699628.0,2135.0,[],0,1432032545
270,2134,10045,2137,18932,😂😂😂,,,[],0,1432033029
271,2134,10045,2138,19557332,😆,,,[],0,1432034103
272,2134,10045,2139,1356936,😂 😂 😂 😂 😂,,,[],0,1432034307
273,2134,10045,2140,154783,ахахаха))) крутые),,,[],0,1432143603
274,2134,10045,2141,6009400,Так и работа ём.,,,[],0,1432312320
275,2118,10045,2119,10045,Прям как я сейчас!,,,[],0,1427213295
276,2118,10045,2120,590343,"Даня, вот вот)",10045.0,2119.0,[],0,1427217807
277,2115,10045,2117,590343,"это к фильму I, origins",,,[],0,1427207964
278,2112,10045,2113,19695507,Кайфовая!,,,[],0,1426723081
279,2112,10045,2114,2539507,На маленьком монике издалека на Николаева похож :D,,,[],0,1426755602
280,2112,10045,2116,19763914,,,,[],0,1427011285
281,2112,10045,2121,182818112,"Мне издалека показалось,что ты одел парик)))) женский) рыжий)парик))))))",,,[],0,1429025390
282,2109,10045,2110,71202,Супер!!!,,,[],0,1426680929
283,2087,10045,2088,4627860,✌,,,[],0,1423086035
284,2076,10045,2077,219468955,"О,это я)))Я прям застеснялась)",,,[],0,1422558387
285,2070,10045,2071,10045,,,,[],0,1421350225
286,2063,10045,2064,230045,Готова подписаться сто раз!,,,[],0,1421186625
287,2063,10045,2065,10045,"Olya, знал, что разделишь мнение! И для меня достаточно даже одной подписи от тебя!))",230045.0,2064.0,[],0,1421186973
288,2063,10045,2069,1231707,Неплоха мысля на ночь глядя-то :),,,[],0,1421340905
289,2046,10045,2048,10045,Вот за такие вещи - благодарность!,,,[],0,1419935633
290,2036,10045,2037,10045,,,,[],0,1419161235
291,2036,10045,2038,366952,"[id10045|Даня], ага вот так=Р",10045.0,2037.0,[],0,1419161288
292,2020,10045,2021,230045,Огого. Как правда,,,[],0,1417181046
293,2020,10045,2022,10045,"Olya, я тоже прочитал, задумался и согласился с автором.",230045.0,2021.0,[],0,1417181640
294,2020,10045,2024,72702912,обалдеть))) все верно..,,,[],0,1417287009
295,2016,10045,2018,5139260,Хорош! Прям заокеанский стайл!),,,[],0,1417107278
296,2016,10045,2033,1734795,"Данечек, чтож родных не приклашаешь на фотосессию?)) мы готовы)",,,[],0,1418795520
